Programming Language,Color,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ada,Ada,0,0,0,29,0,0,0,0,0,0,0
Befunge,Befunge,0,66,0,0,0,0,0,0,0,0,0
Clang++17 Diagnostics,Clang++17 Diagnostics,0,0,0,0,0,0,0,3,9,47,18
Cobol,Cobol,0,0,21,0,0,0,0,0,0,0,0
D,D,0,0,0,0,291,29,16,96,28,323,495
Delphi,Delphi,207,304,401,96,16,0,0,3,0,0,1
Factor,Factor,0,0,18,0,0,0,0,0,0,0,0
FALSE,FALSE,0,0,0,0,57,0,0,0,0,0,0
FPC,FPC,0,11,132,332,3,2,28,9,10,13,3
GNU C,GNU C,185,215,102,36,17,62,49,46,19,0,0
GNU C++,GNU C++,590,2816,5712,11018,10079,5665,3612,1888,1256,0,0
GNU C++0x,GNU C++0x,1,23,123,1003,4726,1964,0,0,0,0,0
GNU C++11,GNU C++11,0,0,0,0,0,13182,17465,11992,10169,7403,3480
GNU C++14,GNU C++14,0,0,0,0,0,0,3318,18849,23174,18485,8878
GNU C++17,GNU C++17,0,0,0,0,0,0,0,0,14420,33284,28794
GNU C++17 (64),GNU C++17 (64),0,0,0,0,0,0,0,0,0,0,20444
GNU C++17 Diagnostics,GNU C++17 Diagnostics,0,0,0,0,0,0,0,0,5,0,0
GNU C11,GNU C11,0,0,0,0,0,7,12,70,15,41,58
Go,Go,0,0,0,0,30,0,0,1,6,17,0
Haskell,Haskell,0,0,0,0,0,14,20,10,19,5,2
Io,Io,0,18,0,0,0,0,0,0,0,0,0
J,J,0,0,0,0,0,0,11,0,0,0,0
Java 11,Java 11,0,0,0,0,0,0,0,0,0,29,632
Java 6,Java 6,1115,1954,1561,727,3,0,0,0,0,0,0
Java 7,Java 7,0,0,147,948,1111,566,23,0,0,0,0
Java 8,Java 8,0,0,0,0,233,944,1237,1532,1536,1209,81
JavaScript,JavaScript,0,0,0,0,0,0,1,5,1,0,0
Kotlin,Kotlin,0,0,0,0,0,0,78,3,1,789,1379
Mono C#,Mono C#,4,0,0,0,3,1,0,10,3,0,23
MS C#,MS C#,0,0,0,4,66,1,9,60,0,0,0
MS C++,MS C++,639,1274,1312,1173,1027,463,404,215,55,4,6
MS C++ 2017,MS C++ 2017,0,0,0,0,0,0,0,0,0,63,20
Mysterious Language,Mysterious Language,0,0,0,0,111,2,3,0,3,0,0
Ocaml,Ocaml,0,0,0,0,0,2,0,1,0,0,0
PascalABC.NET,PascalABC.NET,0,0,0,0,0,0,0,0,1,4,3
Perl,Perl,0,0,0,0,0,0,0,8,0,1,5
PHP,PHP,0,8,0,0,1,0,1,20,18,13,8
Picat,Picat,0,0,0,0,0,45,0,0,0,2,0
Pike,Pike,0,58,0,0,0,0,0,1,0,0,0
PyPy 2,PyPy 2,0,0,0,0,0,5,3,9,13,15,9
PyPy 3,PyPy 3,0,0,0,0,0,8,49,25,282,654,461
Python 2,Python 2,1,60,145,124,132,73,89,114,50,10,0
Python 3,Python 3,0,0,0,144,132,115,400,508,727,608,422
Q#,Q#,0,0,0,0,0,0,0,0,337,384,632
Roco,Roco,0,0,77,11,0,0,0,0,0,0,0
Ruby,Ruby,0,0,11,13,134,11,1,6,45,1,0
Rust,Rust,0,0,0,0,0,0,0,17,4,0,25
Scala,Scala,0,0,0,0,0,0,0,3,6,9,0
Secret_171,Secret_171,0,0,29,0,0,0,1,0,0,0,0
Tcl,Tcl,0,30,5,0,0,0,0,0,0,0,0
Text,Text,0,0,0,0,0,0,0,0,2,19,1262
UnknownX,UnknownX,0,0,0,0,0,0,0,0,0,0,34
